!	0-35	36-42	43-47	48-52	53-56	57-58	59-61	62-64	65-66	67-70	71-74	75-82	83-92	93-97	98-108
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	7.08	7.08	6.48	4.68	5.00	5.60	5.88	4.08	4.68	4.40	5.00	4.08	4.24	4.08	4.40
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	52	52	57	62	67	71	71	76	76	81	81	88	88	109	109
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	-1	-1	-1	!	-4	-3	-3	5	5	-1	-1	-20	-20	13	13
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	505	505	505	505	505	505	505	505	505	505	505	505	488	488	488
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.322	0.322	0.322	0.322	0.322	0.322	0.322	0.322	0.322	0.322	0.322	0.322	0.322	0.322	0.322
!	28.198	28.198	28.198	28.198	28.198	28.198	28.198	28.198	28.198	28.198	28.198	28.198	28.198	28.198	28.198
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.191	0.191	0.191	0.191	0.191	0.191	0.191	0.191	0.191	0.191	0.191	0.162	0.154	0.154	0.147
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	13.897	10.697	8.709	8.709	8.709	8.709	8.709	8.709	8.709	8.709	8.709	7.349	7.349	6.361	6.361
!	100.0	100.0	96.8	94.7	92.6	91.6	91.6	90.5	89.5	88.4	88.4	87.4	85.3	84.2	83.2
!	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	4050	4050	4050	4050	4050	4050	4050	4050	4050	3937	3937	4050	4050	4050	4050
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460	5.460
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
