!	0-59	60-74	75-90	91-108
!	!	!	!	!
!	4.80	4.80	4.80	4.48
!	-4.2	-4.2	-3.5	-5.0
!	1	1	1	1
?	?	?	?	?
!	67	78	93	112
!	!	!	!	!
!	-3	-27	33	33
!	!	!	!	!
!	787	871	1110	1450
!	!	!	!	!
!	!	!	!	!
!	0.014	0.014	0.014	0.014
!	!	!	!	!
!	19.801	19.801	19.801	19.801
!	1.3	1.3	1.3	1.3
!	1.280	1.280	1.280	1.280
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.027	0.027	0.027	0.027
!	100.0	100.0	100.0	100.0
!	0.032	0.032	0.032	0.033
!	-712	-712	-712	-702
!	562	450	562	562
!	!	!	!	!
!	!	!	!	!
!	0.010	0.010	0.010	0.010
!	5.379	5.379	5.379	5.379
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.010	0.010	0.010	0.010
!	5.379	5.379	5.379	5.379
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	7.0	7.0	7.0	7.0
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
