!	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	7.48	4.48	3.60	4.20	!	!	1.48	1.48	1.20	1.20	1.20	5.40	2.08	9.60	!	3.60	!	5.40	!	1.20	0.40	!	1.44	!	4.28	3.00	5.00	1.20	2.20	3.28	1.48	4.48	4.28	0.60	!	1.80	1.20	0.60	!	!	1.20	1.20	1.20	2.40	1.28	3.80	1.20	1.48	!	!	!	1.48	2.40	4.48	9.88	0.60	!	1.20	!	!	!
!	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	-38.1	25.6	-25.5	20.9	-11.3	15.4	13.0	28.0	20.1	38.2	-19.2	-15.3	-16.1	!	!	20.1	-24.7	-31.8	-19.2	25.6	23.2	-23.2	-25.5	-25.5	25.6	25.6	-27.9	-31.8	-41.3	-39.7	26.4	26.4	26.4	19.3	25.6	26.4	25.6	-24.7	-27.1	-50.0	-50.0	31.9	25.6	24.8	-37.3	-31.0	0.4
!	!	!	!	!	!	!	!	!	!	!	!	!	!	1	1	!	1	!	1	1	1	1	1	1	1	1	1	1	1	!	1	1	1	!	!	!	1	1	1	1	1	1	!	!	1	1	!	!	!	!	!	!	!	!	1	!	1	1	!	1	1
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	44	40	44	44	46	34	47	48	48	47	48	45	49	!	53	46	53	53	53	54	53	51	58	51	59	63	63	66	59	68	64	74	66	74	73	77	80	76	77	80	74	80	81	82	79	83	84	84	87	94	100	90	94	88	93	83	94	95	97	95	104
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	35	-1	35	35	-33	!	32	32	-32	-34	-25	21	21	!	44	-19	44	-9	44	-46	44	44	21	44	5	50	21	-1	10	-1	-48	4	!	35	-48	35	-48	-24	-1	35	-10	-9	-1	-1	-25	-25	21	19	-1	-1	-1	4	-48	4	!	-1	-47	-30	-1	-27	35
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	50	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	1840	1840	!	!	1840	1840	1840	1840	1840	!	1840	!	!	2340	1840	1840	1840	1840	1840	1840	1840	1840	2871	1840	5640	2110	!	1840	978	1840	1840	1910	5640	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	!	!	2970	1840	1840	1030
!	!	1.5	!	!	!	!	!	!	!	!	!	1.2	!	1.9	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.104	!	!	!	0.007	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.006	0.006	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	0.012	0.012	0.019	!	!	!	0.134	0.063	0.134	0.047	0.135	0.090	0.135	0.135	0.322	0.135	0.006	0.025	0.040	0.138	0.131	!	0.322	0.040	0.006	!	!	!	0.006	!	0.138	0.138	0.138	0.138	0.012	0.019	0.046	0.391	!	!	!	!	!	!	!	0.138	0.012	!	0.138	0.138	!	!	0.012
