!	0-64	65-81	82-93	94-108
!	!	!	!	!
!	3.00	3.20	3.80	4.00
!	!	!	!	!
!	1	1	1	1
?	?	?	?	?
!	86	86	86	122
!	!	!	!	!
!	35	35	35	35
!	!	!	!	!
!	1630	1530	1370	1290
!	!	!	!	!
!	!	!	!	!
!	0.025	0.025	0.025	0.025
!	0.322	0.322	0.322	0.322
!	28.198	28.198	28.198	28.198
!	2.3	2.3	2.3	2.3
!	3.279	3.279	3.279	3.279
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.138	0.138	0.138	0.138
!	3.070	3.070	3.279	3.070
!	81.1	76.9	72.7	69.5
!	13.897	13.897	13.897	13.897
!	!	!	!	!
!	2250	2250	2250	2250
!	!	!	!	!
!	!	!	!	!
!	0.010	0.010	0.010	0.010
!	4.289	4.289	4.289	4.289
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.010	0.010	0.010	0.010
!	4.289	4.289	4.289	4.289
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	7.0	7.0	7.0	7.0
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
