!	0-58	59-65	66-68	69-73	74-79	80-92	93-96	97-108
!	!	!	!	!	!	!	!	!
!	3.80	3.80	3.20	3.20	3.48	2.60	2.88	3.48
!	!	!	0.4	0.4	!	0.4	0.4	!
!	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?
!	70	74	79	84	89	95	98	109
!	!	!	!	!	!	!	!	!
!	-7	!	-5	-3	-29	-21	24	13
!	!	!	!	!	!	!	!	!
!	881	881	881	881	881	881	881	881
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	0.027	0.030	0.033	0.015	0.014	0.020	0.025	0.027
!	0.414	0.414	0.414	0.414	0.414	0.414	0.414	0.414
!	28.198	28.198	28.198	28.198	28.198	28.198	28.198	28.198
!	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
!	0.356	0.356	0.356	0.356	0.356	0.356	0.356	0.356
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	3.521	3.521	3.521	3.279	3.279	3.070	3.070	3.070
!	29.6	28.6	27.5	27.5	26.5	25.4	24.4	23.3
!	0.449	0.449	1.060	1.060	1.060	1.060	1.060	1.060
!	!	!	!	!	!	!	!	!
!	4500	4500	4500	4500	4500	4500	4500	4500
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	0.384	0.384	0.384	0.384	0.384	0.384	0.384	0.384
!	5.171	5.171	5.171	5.171	5.171	5.171	5.171	5.171
!	10	10	10	10	10	10	10	10
!	!	!	!	!	!	!	!	!
!	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.712	5.712	5.712	5.712	5.712	5.712	5.712	5.712
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
