!	0-61	62-73	74-92	93-108
!	!	!	!	!
!	3.20	3.16	3.00	2.88
!	-16.9	-16.9	-16.9	-16.9
!	1	1	1	1
?	?	?	?	?
!	67	78	93	112
!	!	!	!	!
!	3	-21	39	39
!	!	!	!	!
!	579	579	599	641
!	3.7	3.7	3.7	3.7
!	!	!	!	!
!	0.209	0.202	0.202	0.202
!	!	!	!	!
!	28.198	28.198	28.198	28.198
!	0.2	0.2	0.2	0.2
!	3.070	2.880	2.880	2.880
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.027	0.027	0.027	0.027
!	!	!	!	!
!	1.220	1.220	1.220	1.220
!	71.6	70.6	68.5	66.4
!	1.790	1.790	1.790	1.730
!	!	!	!	!
!	3375	3600	3712	3825
!	!	!	!	!
!	!	!	!	!
!	0.841	0.841	0.841	0.841
!	0.100	0.100	0.100	0.100
!	!	!	!	!
!	2193	2193	2193	2193
!	!	!	!	!
!	0.010	0.010	0.010	0.010
!	5.130	5.130	5.130	5.130
!	!	!	!	!
!	!	!	!	!
!	10.1	10.9	10.1	10.1
!	7.0	7.0	7.0	7.0
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
