!	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	4.80	4.80	1.20	4.28	7.48	!	1.48	1.48	1.20	2.52	1.20	!	!	!	!	3.60	!	5.40	!	1.20	0.40	!	1.44	!	4.28	3.00	5.00	1.20	2.20	3.28	1.48	4.48	5.04	0.60	!	1.80	1.20	0.60	!	!	1.20	1.20	1.20	2.40	1.28	3.80	1.20	1.48	!	!	!	1.48	2.40	4.48	9.88	0.60	!	1.20	!	!	!	1.48
!	25.6	20.9	10.6	-19.2	0.4	0.4	0.4	0.4	0.4	!	0.4	0.4	-15.3	0.4	-38.1	25.6	-25.5	20.9	-11.3	15.4	13.0	28.0	20.1	38.2	-19.2	-15.3	-16.1	!	!	20.1	-24.7	-31.8	15.4	25.6	23.2	-23.2	-25.5	-25.5	25.6	25.6	-27.9	-31.8	-41.3	-39.7	26.4	26.4	26.4	19.3	25.6	26.4	25.6	-24.7	-27.1	-50.0	-50.0	31.9	25.6	24.8	-37.3	-31.0	0.4	0.4
!	!	!	1	1	!	!	!	!	!	1	!	!	!	!	1	!	1	!	1	1	1	1	1	1	1	1	1	1	1	!	1	1	1	!	!	!	1	1	1	1	1	1	!	!	1	1	!	!	!	!	!	!	!	!	1	!	1	1	!	1	1	1
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	31	37	37	39	44	34	47	48	47	57	48	46	51	50	53	46	53	53	53	54	53	51	58	51	59	63	63	66	59	68	64	74	68	74	73	77	80	76	77	80	74	80	81	82	79	83	84	84	87	94	100	90	94	88	93	83	94	95	97	95	104	106
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	-19	-9	-46	5	35	!	32	32	-32	-31	-25	-28	-1	21	44	-19	44	-9	44	-46	44	44	21	44	5	50	21	-1	10	-1	-48	4	-46	35	-48	35	-48	-24	-1	35	-10	-9	-1	-1	-25	-25	21	19	-1	-1	-1	4	-48	4	!	-1	-47	-30	-1	-27	35	-48
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	50	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	1840	5640	1840	1840	1840	1840	620	!	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	2871	1840	5640	2110	!	1840	978	1840	1840	1910	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	1840	!	!	2970	1840	1840	1030	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	0.007	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.007	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.006	0.006	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	1.270
!	!	!	0.220	0.006	!	!	!	!	0.012	0.006	0.019	0.138	0.012	0.047	0.134	0.063	0.134	0.047	0.135	0.090	0.135	0.135	0.322	0.135	0.006	0.025	0.040	0.138	0.131	!	0.322	0.040	0.090	!	!	!	0.006	!	0.138	0.138	0.138	0.138	0.012	0.019	0.046	0.391	!	!	!	!	!	!	!	0.138	0.012	!	0.138	0.138	!	!	0.012	!
!	!	1.740	5.051	9.388	!	!	!	20.797	3.620	1.230	1.470	!	2.309	3.819	3.230	0.360	3.060	2.890	2.731	4.500	2.440	2.180	7.319	1.950	9.952	4.280	9.329	1.060	3.700	!	6.361	4.521	3.180	!	!	!	2.731	1.670	2.320	2.210	1.440	1.670	!	!	0.528	0.112	!	!	!	!	!	!	!	!	2.890	!	1.060	3.811	!	0.282	2.731	!
!	!	100.0	100.0	100.0	!	!	!	!	100.0	100.0	100.0	!	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	!	100.0	100.0	100.0	!	!	!	100.0	100.0	100.0	100.0	100.0	100.0	!	!	100.0	100.0	!	!	!	!	!	!	!	!	100.0	!	100.0	100.0	!	100.0	100.0	!
!	1.100	1.740	5.641	9.383	1.730	1.040	0.654	1.040	3.819	1.310	2.060	2.880	2.440	8.340	3.420	0.582	3.230	3.060	2.890	4.760	2.580	2.309	7.319	2.060	9.941	4.521	9.872	1.110	3.660	5.339	6.361	4.771	3.169	5.339	5.339	5.339	2.890	1.730	2.320	2.210	1.360	1.730	5.339	5.339	0.528	0.610	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.611	3.060	1.040	1.060	3.811	5.339	0.654	2.890	1.840
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	0.138	!	!	!	!	!	!	!	!	!	!	!	!	!	0.072	!	!	0.016	!	!	0.110	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.032	!
!	!	!	!	0.530	1.610	!	!	!	!	!	!	0.432	!	!	!	!	!	!	!	!	!	!	5.011	!	0.530	18.496	!	!	7.482	!	8.709	8.340	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	7.049	!	!	2.440	!	!	3.230	!
!	!	!	!	100.0	!	!	!	!	!	!	!	100.0	!	!	!	!	!	!	!	!	!	!	100.0	!	100.0	100.0	!	!	100.0	!	21.2	100.0	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	100.0	!	!	100.0	!	!	100.0	!
!	1.040	1.040	15.598	0.472	1.560	5.339	5.339	5.339	5.339	1.040	5.339	5.611	5.339	5.339	5.339	5.339	5.339	5.339	5.339	15.598	5.339	5.339	5.119	5.339	0.472	16.497	1.040	5.611	7.482	5.339	8.709	9.329	15.598	5.339	5.339	5.339	5.339	5.611	5.611	5.611	5.611	5.611	5.339	5.339	5.611	5.611	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.611	7.890	1.040	1.060	5.011	5.339	5.339	5.339	1.040
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	19	!	19	!	19	!	19	75	!	19	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	75	!
!	!	!	3375	800	3375	3375	3375	3375	3375	!	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	2812	3375	800	2925	!	3375	3911	3375	3150	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	3375	!	!	2925	3375	3375	2812	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
