!	0-65	66-79	80-94	95-108
!	!	!	!	!
!	1.88	1.60	1.60	1.80
!	!	!	!	!
!	1	1	1	1
?	?	?	?	?
!	86	86	86	122
!	!	!	!	!
!	35	35	35	35
!	!	!	!	!
!	3651	3651	3651	3520
!	!	!	!	!
!	!	!	!	!
!	0.006	0.006	0.006	0.006
!	0.322	0.230	0.322	0.322
!	28.198	28.198	28.198	28.198
!	2.3	2.3	2.3	2.3
!	0.290	0.290	0.290	0.290
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.043	0.040	0.038	0.035
!	100.0	100.0	100.0	100.0
!	0.043	0.040	0.038	0.035
!	-112	-130	-130	-130
!	562	562	562	562
!	!	!	!	!
!	!	!	!	!
!	0.010	0.010	0.010	0.010
!	5.130	5.130	5.130	5.130
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.010	0.010	0.010	0.010
!	5.130	5.130	5.130	5.130
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	7.0	7.0	7.0	7.0
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
