!	0-45	46-56	57-74	75-108
!	!	!	!	!
!	1.20	0.80	0.80	0.80
!	!	!	!	!
!	1	1	1	1
?	?	?	?	?
!	68	68	68	68
!	!	!	!	!
!	36	36	36	36
!	!	!	!	!
!	787	871	965	1110
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.138	0.138	0.138	0.138
!	10.697	7.349	5.011	3.070
!	100.0	100.0	100.0	100.0
!	5.011	4.141	2.570	2.110
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.550	0.444	0.294	0.299
!	100.0	100.0	89.9	100.0
!	0.816	0.808	0.604	0.513
!	!	!	!	!
!	4025	3937	3550	3350
!	!	!	!	!
!	!	!	!	!
!	0.010	0.010	0.010	0.010
!	5.130	5.130	5.130	5.130
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.010	0.010	0.010	0.010
!	5.130	5.130	5.130	5.130
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	7.0	7.0	7.0	7.0
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
