!	0-55	56-89	90-108
!	!	!	!
!	1.40	1.40	1.68
!	!	!	!
!	1	1	1
?	?	?	?
!	98	98	98
!	!	!	!
!	21	21	21
!	50	50	50
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	0.138	0.138	0.138
!	0.932	0.721	0.466
!	100.0	100.0	100.0
!	0.932	0.721	0.466
!	!	!	!
!	!	!	!
!	!	!	!
!	!	0.006	!
!	!	!	!
!	0.290	0.253	0.233
!	100.0	100.0	100.0
!	0.305	0.277	0.233
!	1191	1191	1191
!	!	!	!
!	!	!	!
!	!	!	!
!	0.010	0.010	0.010
!	5.130	5.379	5.379
!	!	!	!
!	!	!	!
!	!	!	!
!	0.010	0.010	0.010
!	5.130	0.100	0.100
!	!	!	!
!	!	!	!
!	!	!	!
!	7.0	7.0	7.0
!	!	!	!
!	!	!	!
?	?	?	?
!	!	!	!
!	!	!	!
?	?	?	?
!	!	!	!
!	!	!	!
