!	0-71	72-99	100-108
!	!	!	!
!	15.00	14.68	13.80
!	!	!	!
!	1	1	1
?	?	?	?
!	77	87	109
!	!	!	!
!	18	-39	25
!	!	!	!
!	19901	19901	19901
!	12.3	12.3	12.0
!	!	!	!
!	!	!	!
!	!	!	!
!	2.489	2.459	2.459
!	97.7	97.7	97.7
!	0.224	0.228	0.228
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	0.390	0.384	0.384
!	!	!	!
!	1.060	1.040	1.040
!	!	!	!
!	787	787	787
!	!	!	!
!	!	!	!
!	0.025	0.025	0.025
!	5.130	5.130	5.130
!	!	!	!
!	!	!	!
!	1.3	1.3	1.3
!	0.010	0.010	0.010
!	5.130	5.130	5.130
!	!	!	!
!	!	!	!
!	!	!	!
!	7.0	7.0	7.0
!	!	!	!
!	!	!	!
?	?	?	?
!	!	!	!
!	!	!	!
?	?	?	?
!	!	!	!
!	!	!	!
