!	0-61	62-73	74-98	99-108
!	!	!	!	!
!	1.20	1.20	1.20	1.20
!	!	!	!	!
!	1	1	1	1
?	?	?	?	?
!	72	83	98	117
!	!	!	!	!
!	-1	-25	35	35
!	!	!	!	!
!	293	313	372	456
!	2.1	2.1	2.1	2.1
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	8.709	8.709	8.709	8.709
!	2.3	2.3	2.3	2.3
!	1.220	1.220	1.220	1.220
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	1.290	1.210	1.290	1.290
!	100.0	100.0	84.2	79.0
!	2.320	2.320	2.320	2.320
!	!	!	!	!
!	5062	5062	5062	5062
!	!	!	!	!
!	!	!	!	!
!	0.010	0.010	0.010	0.010
!	5.379	5.379	5.379	5.379
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.010	0.010	0.010	0.010
!	5.379	5.379	5.379	5.379
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	7.0	7.0	7.0	7.0
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
