!	0-84	85-92	93-96	97-108
!	!	!	!	!
!	3.08	3.68	3.68	4.28
!	-5.8	-5.8	-5.8	-5.8
!	1	1	1	1
?	?	?	?	?
!	91	91	91	119
!	!	!	!	!
!	-4	-4	-4	-25
!	!	!	!	!
!	1110	1110	1110	1110
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	6.361	6.361	6.361	6.361
!	100.0	100.0	100.0	100.0
!	3.811	3.521	3.521	3.279
!	!	!	!	!
!	4	4	4	4
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.161	0.161	0.161	0.138
!	100.0	88.4	81.1	100.0
!	1.060	1.060	1.060	1.060
!	!	!	!	!
!	3937	3487	3487	3487
!	!	!	!	!
!	!	!	!	!
!	0.010	0.010	0.010	0.010
!	5.379	5.379	5.379	5.379
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.010	0.010	0.010	0.010
!	5.379	5.379	5.379	5.379
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	7.0	7.0	7.0	7.0
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
