!	0-61	62-73	74-92	93-108
!	!	!	!	!
!	3.20	3.08	2.88	2.88
!	17.7	17.7	17.7	17.7
!	1	1	1	1
?	?	?	?	?
!	67	78	93	112
!	!	!	!	!
!	-5	-29	31	31
!	!	!	!	!
!	710	735	787	842
!	0.9	0.9	0.9	0.9
!	!	!	!	!
!	0.152	0.152	0.152	0.152
!	!	!	!	!
!	28.198	28.198	28.198	28.198
!	!	!	!	!
!	2.719	2.719	2.719	2.719
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.049	0.049	0.049	0.049
!	100.0	100.0	100.0	100.0
!	0.049	0.049	0.049	0.049
!	-646	-646	-646	-646
!	675	900	900	900
!	!	!	!	!
!	!	!	!	!
!	0.010	0.010	0.010	0.010
!	5.130	5.130	5.130	5.130
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.010	0.010	0.010	0.010
!	5.130	5.130	5.130	5.130
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	7.0	7.0	7.0	7.0
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
