!	0-35	36-37	38-39	40-41	42-43	44	45	46	47-50	51	52	53-54	55	56	57-58	59-61	62	63-65	66	67-71	72	73-76	77-80	81	82-83	84	85	86	87-89	90-91	92-96	97	98	99-108
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	6.60	8.68
!	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2	-4.2
!	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	69	69	69	81	81	81	81	89	89	89	96	96	96	96	96	96	96	96	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	16	16	16	33	33	33	33	-28	-28	-28	-3	-3	-3	-3	-3	-3	-3	-3	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	579	579	579	579	579	579	579	579	579	579	579	579	579	579	579	579	579	579	579	579	579	579	579	579	579	579	579	579	579	579	579	579	579	579
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	!
!	16.497	16.497	16.497	16.497	16.497	16.497	15.598	15.598	15.598	15.598	15.598	15.598	15.598	15.598	15.598	11.699	11.699	11.699	11.100	11.100	11.100	11.100	7.460	7.460	7.460	6.320	6.320	6.320	6.320	6.320	6.320	6.320	6.320	5.969
!	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
!	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834	0.834
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	!
!	1.740	1.740	1.740	1.740	1.740	1.740	1.740	1.740	1.740	1.740	1.740	1.740	1.740	1.740	1.740	1.740	1.740	1.740	1.560	1.560	1.560	1.560	1.560	1.560	1.560	1.390	1.390	1.390	1.390	1.390	1.390	1.390	1.390	1.390
