!	0-44	0-44	45-50	45-56	51-56	57-61	57-60	61-64	62-68	65-68	69-72	69-72	73-76	73-80	77-80	81-84	81-84	85-88	85-93	89-98	94-96	97-100	99-108	101-108
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	9.28	6.28	9.28	6.28	9.28	6.28	9.28	9.28	6.28	9.28	6.28	9.28	6.28	9.28	6.28	6.28	9.60	9.88	6.28	12.60	6.28	6.60	14.08	6.88
!	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	!	0.4	!	!	0.4	!	0.4	!	!	!
!	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	66	66	70	66	78	70	82	85	78	89	82	93	85	93	89	93	93	93	93	109	93	109	109	109
!	12	!	12	!	12	!	12	12	!	12	!	12	!	12	!	!	12	12	!	12	!	!	!	!
!	3	-1	13	-1	18	9	32	-28	14	-25	28	2	-32	1	-29	-2	0	0	-2	13	-2	12	13	12
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	3904	3904	3904	3904	3904	3904	3904	3904	3904	3904	3904	3904	3904	3904	3904	3904	3904	3904	3904	3773	3904	3904	3904	3904
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.012	0.001	0.012	0.001	0.012	0.001	0.012	0.012	0.001	0.012	0.001	0.012	0.001	0.012	0.001	0.001	0.012	0.012	0.001	0.012	0.001	0.001	0.012	0.001
!	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
!	0.985	1.235	0.985	1.235	0.985	1.235	0.985	0.985	1.235	0.985	1.235	0.985	1.235	0.985	1.235	1.235	0.985	0.985	1.235	0.985	1.235	1.235	0.985	1.235
!	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3
!	0.282	0.282	0.282	0.282	0.282	0.282	0.282	0.246	0.282	0.282	0.282	0.282	0.246	0.282	0.282	0.282	0.282	0.282	0.282	0.282	0.282	0.282	0.282	0.282
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739
!	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
!	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
