!	39	40	41	42	43	44	45	46	46	47	48	49	50	51	52	53	54	55	55	56	57	58	59	60	61	61	62	62	63	63	64	65	65	66	66	67	68	69	70	71	71	72	72	73	74	74	75	75	76	77	78	78	79	79	80	80	81	81	82	82	83	83	84	84
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	7.48	4.48	3.60	4.20	!	!	1.48	6.00	1.48	5.40	4.48	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	12.00	2.40	3.00	3.00	!	!	!	1.20	1.20	!	!	!	!	5.40	6.40	2.40	2.40	1.28	!	!	2.60	2.40	!	!	3.88	6.80	4.48	4.48	0.80	0.80	4.48	4.48	1.88	2.00	5.68	5.68	4.48	4.48
!	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	16.9	-15.3	0.4	50.0	-50.0	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	35.8	-35.0	0.4	0.4	0.4	-14.5	14.6	0.4	0.4	0.4	0.4	0.4	0.4	-23.2	30.3	0.4	0.4	8.3	-7.4	0.4	0.4	0.4	0.4
!	!	!	!	!	!	!	!	1	!	!	!	!	!	!	!	!	!	!	!	!	!	1	!	!	!	!	1	1	1	1	!	!	!	!	!	1	1	1	1	1	1	!	!	1	!	!	!	!	!	1	1	1	1	1	!	!	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	41	46	50	50	53	46	51	52	52	56	55	56	57	58	59	60	61	117	122	68	64	68	66	67	71	68	77	69	71	70	72	73	73	81	81	74	77	88	78	85	78	72	72	79	88	84	83	105	83	84	93	105	95	90	90	83	118	95	102	88	85	94	97	91
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	-2	!	!	!	2	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	47	-7	4	4	36	!	-10	-14	-10	18	!	!	!	!	!	!	!	-99	-48	!	!	4	!	!	!	!	!	!	!	!	!	3	-3	!	-48	!	!	!	4	!	!	2	2	!	!	!	2	2	!	!	-48	-48	!	!	!	!	-25	-25	47	47	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	1844	1844	33489	33489	1844	1844	1844	33489	1844	33489	33489	33489	33489	33489	33489	5876	33489	1609	2872	33489	33489	33489	33489	33489	33489	33489	33489	33489	33489	33489	33489	33489	33489	33489	33489	33489	33489	33489	2190	33489	33489	33489	33489	33489	33489	33489	33489	33489	33489	2593	33489	33489	33489	33489	33489	33489	720	286	1555	2043	33489	33489	33489	33489
!	!	1.5	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	12.3	12.3	3.3	4.2	4.8	4.8	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.258	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.083	!	!	!	!	!	0.060	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.042	!	!	!	1.339	!	!	0.049	0.049	0.404	0.003	!	!	!	0.041	3.344	!	!	2.119	2.056	0.473	1.788	0.093	0.093	!	!	!	!	!	!	0.034	!	0.404	!	!	1.202	1.699	!	!	0.699	0.304	0.130	0.579	0.123	0.123	0.138	0.138
!	!	!	0.081	!	!	!	!	0.055	!	!	!	!	!	!	!	!	!	0.113	0.146	!	!	!	!	!	!	!	!	!	!	!	!	0.154	0.154	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.146	!	!	!	!	!	!	1.695	0.442	!	!	!	!
