!	0-54	0-54	55-61	55-61	62-66	62-66	67-77	67-77	78-92	78-85	86-100	93-101	101-108	102-108
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	2.08	2.08	2.08	2.08	2.08	2.08	2.08	2.08	2.08	2.08	2.08	2.08	10.80	2.08
!	13.0	-6.6	13.0	-6.6	13.0	-6.6	13.0	-6.6	13.0	-6.6	-6.6	13.0	-6.6	13.0
!	1	1	1	1	1	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	67	67	67	75	75	75	75	87	87	87	106	106	106	106
!	!	7	!	7	!	7	!	7	!	7	7	!	-5	!
!	-3	-2	-3	7	14	7	14	7	14	7	-5	2	-5	2
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	814	159	1503	159	1555	159	1844	159	2263	159	159	2593	159	3182
!	1.3	5.1	1.3	5.1	1.3	5.1	1.3	5.1	1.3	5.1	5.1	1.3	5.1	1.3
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.117	0.195	0.117	0.195	0.117	0.195	0.117	0.195	0.117	0.243	0.195	0.117	0.195	0.117
!	0.506	0.506	0.506	0.414	0.506	0.414	0.506	0.414	0.506	0.001	0.414	0.506	0.414	0.506
!	28.246	19.790	28.246	13.857	28.246	10.685	28.246	10.685	28.246	10.685	10.685	28.246	7.353	32.767
!	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	4.4	0.2
!	5.014	5.608	5.014	5.608	5.014	5.608	5.014	5.608	5.014	5.608	5.608	5.014	5.608	5.014
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.098	0.233	0.098	0.233	0.098	0.233	0.098	0.233	0.010	0.233	0.098	0.098	0.090	0.098
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	28.246	3.525	28.246	3.525	28.246	3.525	28.246	3.279	3.806	3.279	3.279	28.246	3.279	28.246
!	0.0	66.4	0.0	58.0	0.0	54.8	0.0	50.6	66.4	45.4	7.6	0.0	21.2	0.0
!	28.246	6.361	28.246	6.361	28.246	6.361	28.246	6.361	28.246	6.361	3.068	28.246	6.361	28.246
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	4612	!	4837	!	4837	!	4837	!	4837	4725	!	4725	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	0.047	!
!	1.596	0.084	1.596	0.084	1.596	0.084	1.596	0.084	1.596	0.084	0.084	1.596	0.084	1.596
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	-3600	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	1.596	0.084	1.596	0.084	1.596	0.084	1.596	0.084	1.596	0.084	0.084	1.596	0.084	1.596
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	0	0	0	0	0	0	0	0	0	0	0	0	0	0
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
