!	22	23	24	26	27	28	29	30	31	31	32	33	33	34	34	37	39	39	41	41	42	43	43	44	45	45	46	47	47	48	48	49	50	50	51	52	52	53	54	55	56	57	58	58	59	60	60	61	61	62	62	63	63	64	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	83	84	85	85	86	87
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	12.08	11.80	!	!	5.80	8.60	1.60	!	!	!	3.72	1.60	1.60	0.60	0.60	0.52	10.88	10.88	0.20	0.20	6.32	!	!	6.60	!	!	4.20	!	!	1.28	1.28	2.00	1.12	1.12	4.40	9.72	9.72	4.88	1.52	6.80	0.88	3.08	3.60	3.60	5.00	5.40	5.40	3.20	3.20	6.40	6.40	5.00	5.00	7.04	7.04	!	!	2.00	2.00	4.80	4.80	2.80	4.40	!	1.60	0.84	0.80	1.00	3.40	2.00	5.80	5.68	2.88	3.60	3.60	2.32	2.08	2.08	!	0.40
!	!	!	-10.0	!	!	-15.0	!	!	-50.0	50.0	-7.0	-50.0	50.0	-50.0	50.0	!	-50.0	50.0	-50.0	50.0	15.0	-50.0	50.0	15.0	-50.0	50.0	15.0	-50.0	50.0	-50.0	50.0	16.0	-50.0	50.0	-18.0	-50.0	50.0	-16.0	8.0	-8.0	15.0	-16.0	-50.0	50.0	-16.0	-50.0	50.0	-50.0	50.0	-50.0	50.0	-50.0	50.0	-50.0	50.0	15.0	15.0	-28.0	-28.0	-28.0	-32.0	25.0	25.0	25.0	25.0	20.0	28.0	28.0	-15.0	-15.0	-32.0	-32.0	25.0	50.0	-50.0	20.0	-50.0	50.0	-27.0	-27.0
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	22	23	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	-12	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	33	33	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	50	50	!	50	50	!	50	50	!	50	50	50	50	!	50	50	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	0.001	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	50.011	!	!	!	!	!	!	!	!	!	59.991	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	2.000	2.000	5.101	2.000	2.000	6.000	4.000	4.000	6.000	6.000	2.000	4.999	4.999	10.998	10.998	4.999	9.000	9.000	21.996	21.996	4.999	21.003	21.003	6.000	21.003	21.003	25.005	19.996	19.996	18.001	18.001	50.011	14.001	14.001	28.003	18.001	18.001	44.994	6.000	21.003	8.000	59.991	10.998	10.998	55.012	9.000	9.000	6.000	6.000	7.001	7.001	9.000	9.000	9.000	9.000	12.000	28.003	8.000	8.000	4.000	3.000	12.000	21.996	6.000	10.998	4.000	8.000	7.001	12.000	12.000	3.000	18.001	3.500	21.003	21.003	50.011	4.000	4.000	4.000	14.001
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
