!	0-103	0-103	0-103	0-103	104-127
!	0-76	77-94	95-111	112-127	!
4.80	!	!	!	!	0.00
!	!	!	!	!	!
!	!	!	!	!	-1
!	!	!	!	!	54
!	!	!	!	!	!
!	!	!	!	!	0.070
9.0	0.0	0.0	0.0	0.0	0.0
!	!	!	!	!	!
!	50.011	29.995	14.998	!	0.200
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	-96.0
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	0.010
!	4.000	3.000	2.000	!	0.010
!	!	!	!	!	0.010
!	!	!	!	!	0.040
!	!	!	!	!	-55.0
!	!	!	!	!	1.500
!	!	!	!	!	100
!	-1400	-1800	-2000	-2630	7200
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
0.600	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
7.0	!	!	!	!	!
