!	0-113	!
!	!	!
!	1.20	5.20
!	20.0	-20.0
!	!	!
!	5	!
!	!	!
!	10.998	0.050
!	!	!
!	0.010	0.010
!	0.080	0.080
!	0.010	0.010
!	9.998	14.998
!	96.0	96.0
!	39.993	4.000
!	!	!
!	!	!
!	0.010	0.010
!	0.010	0.010
!	0.010	0.010
!	0.300	8.000
!	100.0	100.0
!	0.300	8.000
!	!	!
!	2400	4000
!	!	!
!	!	!
!	0.010	!
!	!	0.600
!	!	!
!	!	!
!	!	!
!	!	0.010
!	0.600	0.700
!	!	!
!	21.0	30.0
!	14.0	14.0
