!	0-96	97-108
!	!	!
!	!	1.60
!	!	!
!	!	!
!	-60	!
!	!	!
!	!	5.680
!	!	!
!	!	0.010
!	!	0.010
!	!	0.010
!	!	7.808
!	!	96.0
!	!	7.808
!	!	!
!	!	!
!	!	0.010
!	!	0.010
!	!	0.010
!	!	0.010
!	!	!
!	!	0.010
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	5.0	5.0
