!	!	0-89	0-89	90-127	90-127
!	!	!	!	!	!
2.80	!	19.60	19.60	19.60	19.60
!	!	20.0	-20.0	20.0	-20.0
!	!	7	-9	7	-9
!	!	-43	40	-43	40
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	0.010	0.010	0.010	0.010
!	9.941	0.720	0.720	0.720	0.720
!	!	0.010	0.010	0.010	0.010
!	!	9.998	9.998	9.998	9.998
!	!	96.0	96.0	96.0	96.0
!	!	2.000	2.000	!	!
!	!	!	!	!	!
!	!	84	84	84	84
!	!	0.010	0.010	0.010	0.010
!	!	0.010	0.010	0.010	0.010
!	!	0.010	0.010	0.010	0.010
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
3.5	!	!	!	!	!
3.5	!	!	!	!	!
