!	0-105	!
!	!	!
4.00	2.80	4.80
!	!	!
!	!	!
!	!	!
!	!	!
!	0.010	0.400
!	7.0	7.3
!	0.010	!
!	0.600	!
!	0.500	!
!	!	!
!	-90.0	!
!	9.998	1.600
!	!	!
!	!	!
!	0.010	!
!	0.010	!
!	0.010	!
0.800	36.886	!
!	50.4	!
!	26.955	!
!	!	!
!	7200	-1000
!	!	!
!	!	!
!	!	!
!	0.560	0.600
!	!	!
!	!	!
!	!	!
!	0.500	!
0.600	0.600	!
!	21	!
3.5	28.0	7.0
3.5	21.0	21.0
