!	0-83	84-127
!	!	!
!	1.20	4.00
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	-96.0
!	!	2.000
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	0.700
!	!	!
!	!	!
!	!	!
!	!	-1000
!	!	!
!	!	!
!	!	0.010
!	0.600	0.600
!	!	!
!	!	!
!	!	!
!	!	!
!	1.100	!
!	!	!
!	!	!
!	7.0	7.0
