!	!	76-127
!	!	!
!	!	8.00
!	!	!
!	!	0
!	!	3
!	!	!
!	!	2.140
!	!	!
!	!	0.010
!	!	0.010
!	!	0.010
!	!	4.000
!	!	100.0
!	!	0.200
!	!	!
!	!	!
!	!	0.010
!	!	0.010
!	!	0.010
!	!	0.030
!	!	85.8
!	!	!
!	!	!
!	!	2500
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	14.0	!
!	!	!
