!	0-105
!	!
!	1.20
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	0.800
!	!
!	!
!	!
!	!
!	0.800
!	!
!	5.0
!	7.0
