!	0-96	97-127
!	!	!
!	2.40	4.80
!	!	!
!	!	!
!	!	!
!	!	!
!	0.800	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	-96.0
!	1.200	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	0.700
!	!	-100.0
!	!	!
!	!	!
!	!	7200
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	7.0	7.0
