!	0-108
!	!
!	!
!	!
!	!
!	5
!	!
!	10.998
!	!
!	0.010
!	0.080
!	0.010
!	9.998
!	96.0
!	39.993
!	!
!	!
!	0.010
!	0.010
!	0.010
!	0.300
!	100.0
!	0.300
!	!
!	2400
!	!
!	!
!	0.010
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	21.0
!	14.0
