!	0-53	!	0-35	0-53	!	0-35	!	0-35	0-53	!	0-53	0-35	!	!	0-35	0-53	!	0-35	0-53	!	0-35	!	0-53	0-35	!	36-50	36-50	36-50	36-50	36-50	36-50	36-50	36-50	51-65	51-65	51-65	51-65	51-65	51-65	51-65	51-65	54-74	54-74	54-74	54-74	54-74	54-74	54-74	66-80	66-80	66-80	66-80	66-80	66-80	66-80	66-80	75-127	75-127	75-127	75-127	75-127	81-87	81-87	81-87	81-87	81-87	81-87	81-87	81-87	88-127	88-127	88-127	88-127	88-127	88-127	88-127	88-127
!	0-37	0-45	0-49	38-66	46-58	50-65	59-70	66-79	67-78	71-82	79-92	80-91	83-91	92-98	92-101	93-105	99-106	102-110	106-116	107-113	111-119	114-120	117-127	120-127	121-127	0-49	50-65	66-79	80-91	92-101	102-110	111-119	120-127	0-49	50-65	66-79	80-91	92-101	102-110	111-119	120-127	0-37	38-66	67-78	79-92	93-105	106-116	117-127	0-49	50-65	66-79	80-91	92-101	102-110	111-119	120-127	0-33	34-60	61-84	85-104	106-127	0-49	50-65	66-79	80-91	92-101	102-110	111-119	120-127	0-49	50-65	66-79	80-91	92-101	102-110	111-119	120-127
!	-4.80	16.40	-3.20	-4.00	14.40	-2.40	12.80	-2.00	-3.20	10.80	-2.40	-1.60	9.20	7.20	-1.20	-1.60	5.60	-0.80	-0.80	3.60	-0.40	2.00	0.00	0.00	0.00	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	0.00	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	0.00	-4.80	-4.00	-3.20	-2.40	-1.60	-0.80	0.00	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	0.00	-4.80	-4.00	-3.20	-2.40	-1.60	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	0.00	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	0.00
!	-7.0	12.0	!	-7.0	12.0	!	12.0	!	-7.0	12.0	-7.0	!	12.0	12.0	!	-7.0	12.0	!	-7.0	12.0	!	12.0	-7.0	!	12.0	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	-7.0	-7.0	-7.0	-7.0	-7.0	-7.0	-7.0	!	!	!	!	!	!	!	!	-7.0	-7.0	-7.0	-7.0	-7.0	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0	!	!	0	!	!	!	!	0	!	0	!	!	!	!	0	!	!	0	!	!	!	0	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0	0	0	0	0	0	0	!	!	!	!	!	!	!	!	0	0	0	0	0	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0	7	!	0	7	!	7	!	0	7	0	!	7	7	!	0	7	!	0	7	!	7	0	!	7	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0	0	0	0	0	0	0	!	!	!	!	!	!	!	!	0	0	0	0	0	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.700	39.993	1.550	0.800	39.993	0.450	39.993	0.500	0.900	39.993	1.000	0.550	39.993	39.993	0.600	1.100	39.993	0.600	1.200	39.993	0.600	39.993	1.300	0.600	39.993	1.700	0.480	0.520	0.560	0.600	0.600	0.600	0.600	1.850	0.510	0.540	0.570	0.600	0.600	0.600	0.600	0.700	0.800	0.900	1.000	1.100	1.200	1.300	2.000	0.540	0.560	0.580	0.600	0.600	0.600	0.600	0.700	0.800	0.900	1.000	1.100	2.150	0.570	0.580	0.590	0.600	0.600	0.600	0.600	2.289	0.600	0.600	0.600	0.600	0.600	0.600	0.600
!	-2.0	!	2.0	-2.0	!	1.0	!	!	-2.0	!	-2.0	!	!	!	!	-2.0	!	!	-2.0	!	!	!	-2.0	!	!	2.0	1.0	!	!	!	!	!	!	2.0	1.0	!	!	!	!	!	!	!	!	!	!	!	!	!	2.0	1.0	!	!	!	!	!	!	2.0	2.0	2.0	2.0	2.0	3.0	2.0	1.0	!	!	!	!	!	4.0	2.5	1.2	!	!	!	!	!
0.010	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.010	!	!	1.000	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	1.000	!	!	!	!	!	!	!	1.000	!	!	!	!	!	!	!	!	!	!	!	!	!	!	1.000	!	!	!	!	!	!	!	!	!	!	!	!	1.000	!	!	!	!	!	!	!	1.000	!	!	!	!	!	!	!
1.000	0.010	!	!	0.010	!	!	!	!	0.010	!	0.010	!	!	!	!	0.010	!	!	0.010	!	!	!	0.010	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	!	!	!	!	!	!	!	!	0.010	0.010	0.010	0.010	0.010	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
1.650	19.996	1.000	!	19.996	1.000	!	1.000	!	19.996	1.000	19.996	!	1.000	1.000	!	19.996	1.000	!	19.996	1.000	!	1.000	19.996	!	1.000	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	19.996	19.996	19.996	19.996	19.996	19.996	19.996	!	!	!	!	!	!	!	!	19.996	19.996	19.996	19.996	19.996	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
96.0	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.500	!	!	0.650	!	!	0.660	!	0.680	!	!	!	0.700	!	!	0.720	!	!	0.740	!	!	0.760	!	!	0.790	!	0.650	0.660	0.680	0.700	0.720	0.740	0.760	0.790	0.650	0.660	0.680	0.700	0.720	0.740	0.760	0.790	!	!	!	!	!	!	!	0.650	0.660	0.680	0.700	0.720	0.740	0.760	0.790	!	!	!	!	!	0.650	0.660	0.680	0.700	0.720	0.740	0.760	0.790	0.650	0.650	0.650	0.650	0.650	0.650	0.650	0.650
!	0	!	!	0	!	!	!	!	0	!	0	!	!	!	!	0	!	!	0	!	!	!	0	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0	0	0	0	0	0	0	!	!	!	!	!	!	!	!	0	0	0	0	0	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0	!	!	0	!	!	!	!	0	!	0	!	!	!	!	0	!	!	0	!	!	!	0	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0	0	0	0	0	0	0	!	!	!	!	!	!	!	!	0	0	0	0	0	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.010	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.010	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.010	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
