!	0-105	106-127
!	!	!
!	6.00	4.00
!	!	!
!	!	!
!	-8	!
!	!	!
!	!	0.150
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	0.600	0.550
!	!	!
!	!	!
!	!	!
!	0.500	0.500
!	!	0.550
!	!	5
!	!	!
!	7.0	7.0
