!	!	!	!	!	!
!	0-58	59-76	77-93	94-110	111-127
3.60	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
0.450	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	10.998	7.001	4.000	2.000	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	0.550	0.550	0.550	0.550	0.550
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	0.500	0.500	0.500	0.500	0.500
!	0.550	0.550	0.550	0.550	0.550
!	5	5	5	5	5
!	!	!	!	!	!
!	7.0	7.0	7.0	7.0	7.0
