!	!	0-108
!	!	!
!	4.80	5.60
!	25.0	-25.0
!	!	!
!	!	!
!	!	!
!	2.000	1.000
!	!	!
!	0.010	!
!	2.140	0.700
!	0.010	!
!	0.010	!
!	!	!
!	29.995	2.000
!	!	!
!	!	!
!	0.010	!
!	0.010	!
!	0.010	!
!	0.010	!
!	!	!
!	56.038	!
!	!	!
!	1000	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	7.0	7.0
!	21.0	21.0
