!	0-105	0-108
!	!	!
!	8.40	7.20
!	!	!
!	!	!
!	3	!
!	!	!
!	0.600	1.100
!	!	4.0
!	!	0.010
!	0.080	0.080
!	!	9.998
!	!	25.005
!	!	96.0
!	0.800	25.005
!	!	!
!	!	!
!	!	0.010
!	0.600	0.010
!	!	0.010
!	!	12.000
!	!	100.0
!	1.000	12.000
!	!	!
!	-500	1500
!	!	!
!	!	!
!	100.021	0.010
!	0.610	0.610
!	!	!
!	!	!
!	!	!
!	!	!
!	0.610	!
!	!	!
!	50.0	17.0
!	32.0	32.0
