!	0-115	0-56	57-80	81-98	99-115
!	!	!	!	!	!
!	2.00	8.00	4.00	6.00	8.00
15.0	-6.0	!	!	!	!
12	0	!	!	!	0
!	4	!	!	!	!
!	!	!	!	!	!
0.030	0.180	!	!	!	!
!	4.0	!	!	!	!
!	!	!	!	!	!
!	!	80.868	80.868	80.868	80.868
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
0.500	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	0.010	0.010	0.010	0.010
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	3000	3000	4000	4000
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
1.250	!	!	!	!	!
4	!	!	!	!	!
15	!	!	!	!	!
0.5	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
3.0	!	!	!	!	!
