!	0-112
!	!
!	1.20
!	!
!	!
!	-3
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	1.200
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	0.800
!	!
!	!
!	!
!	!
!	!
!	!
!	!
!	7.0
