!	0-83	84-96	97-127	97-127
!	!	!	!	!
2.80	!	!	2.00	20.00
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.120	0.150	0.150	100.021
!	!	!	!	!
!	!	!	!	!
!	!	!	0.010	0.010
!	!	!	!	!
!	!	!	2.140	0.010
!	!	!	8.9	!
1.200	!	!	4.260	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	0.010	!
!	!	!	!	!
!	!	!	0.010	!
!	!	!	100.0	!
100.021	!	!	0.010	!
!	!	!	83	!
!	!	-1000	1500	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	0.600	0.600
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
0.600	!	!	!	!
!	!	!	!	!
!	!	!	!	!
7.0	!	!	!	!
