!	0-108	0-108
!	!	!
6.00	!	!
!	-30.0	30.0
!	!	!
!	!	!
!	!	!
!	0.010	0.200
!	!	!
0.010	!	!
0.010	9.998	1.000
0.010	!	!
0.010	!	!
!	!	!
0.010	73.051	69.511
!	!	!
!	!	!
0.010	!	1.000
0.010	19.996	14.998
0.010	!	!
0.010	!	!
!	!	!
0.010	47.532	50.359
!	!	!
!	5250	7000
!	!	!
!	!	!
!	!	3.401
!	0.600	0.020
!	!	!
!	!	-1000
!	!	!
!	!	!
!	0.600	0.600
!	!	!
7.0	!	!
7.0	!	!
