!	0-66	0-66	67-78	67-78	79-127	79-127
!	!	!	!	!	!	!
5.20	6.80	!	6.80	!	6.80	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	-2	2	-2	2	-2	2
!	!	!	!	!	!	!
0.020	!	!	!	!	!	!
!	5.0	!	5.0	!	5.0	!
!	0.010	0.010	0.010	0.010	0.010	0.010
!	6.390	!	6.390	!	6.390	!
!	2.850	2.850	2.850	2.850	2.850	2.850
!	5.680	5.680	5.680	5.680	5.680	5.680
!	6.1	12.9	6.1	12.9	6.1	12.9
!	0.400	0.400	0.400	0.400	0.400	0.400
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010
!	1.430	13.478	1.430	13.478	1.430	13.478
!	0.010	0.010	0.010	0.010	0.010	0.010
!	7.808	7.808	7.808	7.808	7.808	7.808
!	48.9	19.1	48.9	19.1	48.9	19.1
!	0.400	0.400	0.400	0.400	0.400	0.400
!	!	!	!	!	!	!
!	4115	2911	4700	3300	5100	3800
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
5.0	!	!	!	!	!	!
5.0	!	!	!	!	!	!
