!	0-35	!	!	0-35	!	0-35	!	0-35	!	0-35	0-35	!	0-35	0-35	36-50	36-50	36-50	36-50	36-50	36-50	36-50	36-50	51-65	51-65	51-65	51-65	51-65	51-65	51-65	51-65	66-80	66-80	66-80	66-80	66-80	66-80	66-80	66-80	81-87	81-87	81-87	81-87	81-87	81-87	81-87	81-87	88-127	88-127	88-127	88-127	88-127	88-127	88-127	88-127
!	0-49	0-39	40-57	50-65	58-72	66-79	73-89	80-91	90-107	92-101	102-110	108-127	111-119	120-127	0-49	50-65	66-79	80-91	92-101	102-110	111-119	120-127	0-49	50-65	66-79	80-91	92-101	102-110	111-119	120-127	0-49	50-65	66-79	80-91	92-101	102-110	111-119	120-127	0-49	50-65	66-79	80-91	92-101	102-110	111-119	120-127	0-49	50-65	66-79	80-91	92-101	102-110	111-119	120-127
12.80	-3.20	!	!	-2.40	!	-2.00	!	-1.60	!	-1.20	-0.80	!	-0.40	0.00	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	0.00	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	0.00	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	0.00	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	0.00	-3.20	-2.40	-2.00	-1.60	-1.20	-0.80	-0.40	0.00
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.650	!	1.500	1.500	0.660	1.500	0.680	1.500	0.700	1.500	0.720	0.740	1.500	0.760	0.790	!	0.660	0.680	0.700	0.720	0.740	0.760	0.790	!	0.660	0.680	0.700	0.720	0.740	0.760	0.790	!	0.660	0.680	0.700	0.720	0.740	0.760	0.790	!	0.660	0.680	0.700	0.720	0.740	0.760	0.790	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	4.000	!	!	3.800	!	3.500	!	3.000	!	2.500	2.500	!	2.500	2.500	4.000	3.800	3.500	3.000	2.500	2.500	2.500	2.500	4.000	3.800	3.500	3.000	2.500	2.500	2.500	2.500	4.000	3.800	3.500	3.000	2.500	2.500	2.500	2.500	4.000	3.800	3.500	3.000	2.500	2.500	2.500	2.500	4.000	3.800	3.500	3.000	2.500	2.500	2.500	2.500
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.500	!	!	0.500	!	0.500	!	0.500	!	0.500	0.500	!	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	600	!	!	750	!	1200	!	1700	!	2200	2800	!	3500	4500	600	750	1200	1700	2200	2800	3500	4500	600	750	1200	1700	2200	2800	3500	4500	600	750	1200	1700	2200	2800	3500	4500	600	750	1200	1700	2200	2700	3000	3300	600	750	1200	1700	2200	2800	3500	4500
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	68	!	!	68	!	68	!	68	!	68	68	!	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68
100.021	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.610	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.610	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
21.0	!	32.0	32.0	!	32.0	!	32.0	!	32.0	!	!	32.0	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
