!	0-109	!
!	!	!
!	23.20	6.00
!	!	!
!	4	!
!	-15	!
!	!	!
!	!	!
!	18.0	!
!	0.010	!
0.910	0.010	1.000
!	0.010	!
!	51.003	!
!	96.0	!
!	29.995	!
!	!	!
!	!	!
!	0.010	!
!	0.010	!
!	0.010	!
!	0.010	!
!	!	!
!	0.010	!
!	!	!
!	7200	!
!	!	!
!	!	!
!	!	!
!	0.600	0.600
!	!	!
!	!	!
!	!	!
!	!	6.000
!	0.600	0.600
!	!	5
24.0	!	!
14.0	!	!
