!	0-96	97-127
!	!	!
!	2.80	5.20
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	-96.0
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	0.700
!	!	-100.0
!	!	!
!	!	!
!	!	7200
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	0.600	!
!	!	!
!	14	!
!	!	!
!	7.0	7.0
