!	0-27	28-32	33-36	37-40	41-43	44-47	48-50	51-55	56-59	60-63	64-66	67-71	72-76	77-81	82-84	85-87	88-93	94-98	99-105	106-127
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	-50.0	-50.0	-50.0	-50.0	-50.0	-50.0	-50.0	-50.0	-50.0	-50.0	-50.0	-50.0	-50.0	-50.0	-50.0	-50.0	-50.0	-50.0	-50.0	-50.0
!	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	2.320	2.320	2.320	2.320	2.320	2.320	2.320	2.320	2.320	2.320	2.320	2.320	2.320	2.320	2.320	2.320	2.320	2.320	2.320	2.320
!	12.000	12.000	12.000	12.000	12.000	12.000	12.000	12.000	12.000	12.000	12.000	12.000	12.000	12.000	12.000	12.000	12.000	12.000	12.000	12.000
!	45.6	45.6	45.6	45.6	45.6	45.6	45.6	45.6	45.6	45.6	45.6	45.6	45.6	45.6	45.6	45.6	45.6	45.6	45.6	45.6
!	3.081	3.081	3.081	3.081	3.081	3.081	3.081	3.081	3.081	3.081	3.081	3.081	3.081	3.081	3.081	3.081	3.081	3.081	3.081	3.081
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	1.280	1.280	1.280	1.280	1.280	1.280	1.280	1.280	1.280	1.280	1.280	1.280	1.280	1.280	1.280	1.280	1.280	1.280	1.280	1.280
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	3.190	3.190	3.190	3.190	3.190	3.190	3.190	3.190	3.190	3.190	3.190	3.190	3.190	3.190	3.190	3.190	3.190	3.190	3.190	3.190
!	18.896	18.896	18.896	18.896	18.896	18.896	18.896	18.896	18.896	18.896	18.896	18.896	18.896	18.896	18.896	18.896	18.896	18.896	18.896	18.896
!	59.6	59.6	59.6	59.6	59.6	59.6	59.6	59.6	59.6	59.6	59.6	59.6	59.6	59.6	59.6	59.6	59.6	59.6	59.6	59.6
!	11.598	11.598	11.598	11.598	11.598	11.598	11.598	11.598	11.598	11.598	11.598	11.598	11.598	11.598	11.598	11.598	11.598	11.598	11.598	11.598
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
!	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
