!	0-35	36-49	50-57	58	59-61	62	63-66	67	68-70	71	72	73-74	75	76	77	78-79	80-81	82	83-84	85-87	88-89	90	91-93	94-98	99-127
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	4.80	4.80	3.88	3.88	3.88	3.88	3.88	3.88	3.88	3.88	3.88	3.88	3.88	3.88	3.88	3.88	3.28	3.28	3.28	3.28	3.00	3.00	3.00	3.00	3.00
!	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4
!	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	65	65	65	65	65	69	69	74	74	74	79	79	79	84	84	84	87	87	87	!	93	93	93	93	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	-28	-28	-28	-28	-28	-18	-18	!	!	!	25	25	25	-3	-3	-3	-18	-18	-18	!	-1	-1	-1	-1	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	965	965	965	965	965	599	599	599	599	599	599	599	599	599	599	599	599	560	560	560	560	560	560	560	560
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.006	0.006	0.006	0.006	0.006	0.005	0.005	0.008	0.008	0.008	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090
!	6.669	6.669	6.669	6.669	6.669	6.669	6.669	6.669	6.669	6.669	6.669	6.669	6.669	6.669	6.669	6.669	6.669	6.669	6.669	6.669	6.669	6.669	6.669	6.669	6.669
!	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3
!	0.384	0.384	0.384	0.384	0.384	0.384	0.384	0.384	0.384	0.384	0.384	0.384	0.384	0.384	0.384	0.384	0.384	0.384	0.384	0.384	0.384	0.384	0.384	0.384	0.384
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006
!	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.339	5.339
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.456	0.456	0.456	0.456	0.456	0.456	0.456	1.040	1.040	1.040	1.040	1.040	1.040	1.040	1.040	1.040	1.040	1.040	1.040	1.040	1.040	1.040	1.040	1.040	1.040
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	4275	4275	4275	4275	4275	4275	4275	4275	4275	4275	4275	4275	4275	4275	4275	4275	4275	4275	4275	4275	4275	4275	4275	4275	4275
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.267	0.267	0.267	0.267	0.267	0.267	0.267	0.267	0.267	0.267	0.267	0.267	0.267	0.267	0.267	0.267	0.267	0.267	0.267	0.267	0.267	0.267	0.267	0.267	0.267
!	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391	5.391
!	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
