!	0-95	96-101	102-127
!	!	!	!
!	!	1.20	1.48
!	!	!	!
!	1	1	1
?	?	?	?
!	!	88	!
!	!	!	!
!	!	36	!
!	!	!	!
!	2000	842	2000
!	!	!	!
!	!	!	!
!	0.015	0.008	0.015
!	!	!	!
!	!	1.730	!
!	!	2.3	!
!	0.355	0.322	0.355
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	0.779	!
!	!	25.4	!
!	!	1.060	!
!	!	!	!
!	!	3600	!
!	!	!	!
!	!	!	!
!	0.010	0.455	0.010
!	5.001	5.100	5.001
!	!	!	!
!	!	!	!
!	!	0.5	!
!	0.010	0.010	0.010
!	5.001	4.289	5.001
!	!	!	!
!	!	!	!
!	!	!	!
!	10.0	7.0	10.0
!	!	!	!
!	!	!	!
?	?	?	?
!	!	!	!
!	!	!	!
?	?	?	?
!	!	!	!
!	!	!	!
