!	0-52	53-76	77-101	102-127
!	!	!	!	!
!	7.12	9.04	9.04	8.48
!	!	!	!	!
!	1	1	1	1
?	?	?	?	?
!	77	77	!	!
!	!	!	!	!
!	21	21	!	!
!	!	!	!	!
!	1000	1000	1000	!
!	1.3	1.3	1.3	!
!	!	!	!	!
!	0.006	0.006	0.006	!
!	0.006	0.006	0.006	!
!	39.993	39.993	39.993	39.993
!	5.0	5.0	5.0	5.0
!	0.500	0.500	0.500	0.500
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.006	0.006	0.006	0.006
!	0.738	0.737	0.738	9.329
!	59.0	59.0	59.0	!
!	1.040	1.040	1.040	1.040
!	-18	-18	-18	!
!	1575	1575	1575	!
!	!	!	!	!
!	!	!	!	!
!	0.260	0.260	0.260	0.260
!	5.001	5.001	5.001	5.001
!	19	19	19	19
!	!	!	!	!
!	0.1	0.1	0.1	!
!	0.010	0.010	0.010	0.010
!	5.379	5.379	5.379	5.210
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	40.0	40.0	40.0	40.0
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
