!	0-67	68-79	80-127
!	!	!	!
!	5.20	5.20	5.20
!	50.0	50.0	50.0
!	1	1	1
?	?	?	?
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	540	540	540
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	1.7	1.7	1.7
!	2.380	2.380	2.380
!	!	!	!
!	!	!	!
!	!	!	!
!	0.360	0.360	0.360
!	!	!	!
!	1.830	1.830	1.830
!	14.5	14.5	14.5
!	1.050	1.050	1.050
!	!	!	!
!	4500	4500	4500
!	!	!	!
!	!	!	!
!	0.010	0.010	0.010
!	10.499	10.499	10.499
!	!	!	!
!	55	55	55
!	3.0	3.0	3.0
!	0.010	0.010	0.010
!	10.499	10.499	10.499
!	!	!	!
!	!	!	!
!	100.0	100.0	100.0
!	40.0	40.0	40.0
!	!	!	!
!	!	!	!
?	?	?	?
!	!	!	!
!	!	!	!
?	?	?	?
!	!	!	!
!	!	!	!
