!	0-47	0-47	48-53	48-55	54-59	56-61	60-63	62-67	64-68	68-73	69-78	74-84	79-93	85-92	93-108	94-102	103-108
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	2.08	1.20	2.08	1.20	2.08	1.20	2.08	1.20	2.08	1.20	2.08	1.20	2.08	1.20	1.20	2.40	2.40
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.4	!	!
!	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	52	67	61	67	61	67	69	75	74	75	80	87	80	87	106	106	106
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	5	-1	2	-1	2	-1	-1	16	0	16	0	16	0	16	4	29	29
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	814	223	814	223	814	223	814	223	814	223	814	223	814	223	223	814	814
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.054	0.058	0.054	0.058	0.054	0.058	0.050	0.058	0.047	0.058	0.047	0.058	0.045	0.058	0.058	0.043	0.040
!	0.001	0.230	0.001	0.230	0.001	0.230	0.001	0.230	0.001	0.230	0.001	0.230	0.001	0.230	0.230	0.001	0.001
!	10.685	8.709	19.790	8.709	19.790	8.709	19.790	8.709	19.790	8.709	19.790	8.709	19.790	8.709	8.709	19.790	19.790
!	25.4	2.3	25.4	2.3	25.4	2.3	25.4	2.3	25.4	2.3	25.4	2.3	25.4	2.3	2.3	28.6	28.6
!	3.068	3.279	3.068	3.068	3.068	3.068	3.068	3.068	3.068	3.068	3.068	3.068	3.068	3.068	3.068	3.068	3.068
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
!	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	!	0.138	0.138	!	!
!	0.360	2.883	0.360	2.883	0.360	2.718	0.360	2.718	0.360	2.570	0.360	2.570	0.360	2.570	2.438	0.360	0.360
!	100.0	70.6	100.0	69.5	100.0	67.4	100.0	66.4	100.0	63.2	92.6	66.4	91.6	59.0	56.9	86.3	58.0
!	0.432	2.438	0.432	2.438	0.432	2.438	0.432	2.438	0.432	2.438	0.432	2.319	0.432	2.319	2.319	0.417	0.417
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	3600	3712	3600	3825	3600	3825	3600	3825	3600	3937	3712	4050	3712	4050	4050	3712	3825
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.011	!	0.011	!	0.011	!	0.011	!	0.011	!	0.011	!	0.011	!	!	0.011	0.011
!	5.379	4.286	5.379	4.286	5.379	4.286	5.379	4.286	5.379	4.286	5.379	4.286	5.379	4.286	4.286	5.379	5.379
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	5.379	4.286	5.379	4.286	5.379	4.286	5.379	4.286	5.379	4.286	5.379	4.286	5.379	4.286	4.286	5.379	5.379
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	19.6	!	19.6	!	19.6	!	19.6	!	19.6	!	19.6	!	19.6	!	!	18.0	18.8
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
