!	0-76	0-96	77-101	97-108	102-108
!	!	!	!	!	!
!	4.20	1.48	4.20	1.20	3.88
!	0.4	0.4	0.4	0.4	0.4
!	1	1	1	1	1
?	?	?	?	?	?
!	77	84	88	112	107
!	!	16	!	!	!
!	21	12	50	35	-21
!	!	!	!	!	!
!	3182	871	3182	1184	33489
!	!	!	!	!	!
!	!	!	!	!	!
!	!	0.018	!	0.006	!
!	!	!	!	!	!
!	2.585	1.841	2.585	19.653	11.055
!	1.3	1.3	1.3	1.3	0.2
!	0.192	0.686	0.192	0.738	0.294
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	0.005	!	0.005	0.012	!
!	!	!	!	0.234	0.006
!	5.969	3.418	5.969	16.488	9.334
!	27.5	!	27.5	1.3	!
!	1.044	1.044	1.044	9.334	1.044
!	!	!	!	!	!
!	1350	2137	1350	2025	2025
!	!	!	!	!	!
!	!	!	!	!	!
!	0.025	!	0.025	!	0.031
!	5.210	4.286	5.210	5.379	5.210
!	!	!	!	!	!
!	!	!	!	!	112
!	!	!	!	!	!
!	!	!	!	!	!
!	5.210	4.286	5.210	5.379	5.210
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
?	?	?	?	?	?
!	!	!	!	!	!
!	!	!	!	!	!
?	?	?	?	?	?
!	!	!	!	!	!
!	!	!	!	!	!
