!	0-35	36-39	40-45	46-53	54-62	63-69	70-76	77-85	86-108
!	!	!	!	!	!	!	!	!	!
2.80	12.00	12.00	12.00	6.88	5.80	6.40	6.40	6.24	7.20
!	!	!	!	!	!	!	!	!	!
!	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	0.001	!	!	!	!	!	!	!
!	!	0.001	!	!	!	!	!	!	!
!	0.257	0.400	0.251	0.300	0.342	0.342	0.342	0.293	0.342
!	16.214	18.001	14.998	12.503	10.998	10.220	10.574	10.220	8.810
!	96.0	96.0	96.0	96.0	96.0	96.0	96.0	93.9	93.9
!	0.700	0.706	0.600	0.500	0.450	0.420	0.390	0.320	0.300
!	0	!	!	!	!	!	!	!	!
!	!	0	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	0.512	0.366	0.293	!	!	!	!
!	3.676	3.596	3.440	3.363	3.206	3.621	3.676	5.004	5.004
!	0	2	!	0	!	!	!	!	!
!	26	25	74	289	131	25	236	!	!
!	-0.1	!	!	!	!	!	!	!	!
!	!	0.499	!	!	!	!	!	!	!
5.001	!	4.301	5.004	5.004	5.004	5.004	5.004	5.004	5.004
!	!	-6	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?
!	0	!	!	!	!	!	!	!	!
!	0	!	!	!	!	!	!	!	!
