!	38-40	38-40	38-40	38-40	38-40	38-40	38-40	38-40	38-40
!	0-110	40-50	51-63	64-76	77-89	90-103	104-115	111-127	116-127
6.52	0.00	18.00	16.00	14.00	12.00	10.00	8.00	0.00	6.00
4.0	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?
!	38	38	38	38	38	38	38	38	38
!	-2	!	!	!	!	!	!	-2	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	5999	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	0.006	0.006	0.006	0.006	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	1.000	1.000	1.000	1.000	1.000	2.000	3.000	2.000	4.000
!	100.0	96.0	96.0	96.0	96.0	96.0	96.0	100.0	96.0
!	1.000	1.000	1.000	1.000	1.000	2.000	3.000	2.000	4.000
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
