!	0-96	0-96	0-96
!	!	!	!
5.08	0.00	0.00	4.20
!	!	!	!
!	1	1	1
?	?	?	?
!	60	60	60
!	-14	-10	-15
!	7	7	!
!	50	50	50
!	663	663	!
!	!	!	!
!	!	!	!
0.006	!	!	!
0.001	!	!	!
0.001	!	!	!
100.0	0.0	0.0	0.0
!	9.998	9.998	0.600
!	!	!	!
!	!	!	!
!	!	!	!
0.006	!	!	!
!	!	!	!
!	!	!	!
100.0	0.0	0.0	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
5.379	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
0.001	!	!	!
!	!	!	!
!	!	!	!
3.1	!	!	!
3.1	!	!	!
!	!	!	!
!	!	!	!
?	?	?	?
!	!	!	0
!	!	!	0
?	?	?	?
!	!	!	-6
!	!	!	5
