!	0-60	61-76	77-83	84-96	97-127
!	!	!	!	!	!
!	1.20	1.20	1.20	1.20	1.20
!	!	!	!	!	!
!	1	1	1	1	1
?	?	?	?	?	?
!	68	68	68	92	104
!	!	!	!	!	!
!	16	16	16	-32	-32
!	!	!	!	!	!
!	3773	3773	3773	3773	3773
!	!	!	!	!	!
!	!	!	!	!	!
!	0.001	0.001	0.001	0.001	0.001
!	0.001	0.001	0.001	0.032	0.001
!	3.525	3.068	2.718	2.441	1.864
!	100.0	100.0	100.0	100.0	100.0
!	1.667	1.159	1.159	1.044	0.970
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	0.001	0.001	0.001	0.001	0.001
!	!	!	!	!	!
!	1.667	1.667	1.667	1.649	1.667
!	100.0	100.0	100.0	100.0	100.0
!	1.667	1.667	1.667	1.649	1.667
!	!	!	!	!	!
!	2587	2587	2587	2587	2587
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	5.379	5.379	5.379	5.379	5.379
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	5.379	5.379	5.379	5.379	5.379
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
?	?	?	?	?	?
!	0	0	0	0	0
!	!	!	!	!	!
?	?	?	?	?	?
!	!	!	!	!	!
!	!	!	!	!	!
