!	0-102	0-96	97-102
!	!	!	!
!	0.00	0.00	0.00
!	8.3	-7.4	-7.4
!	1	1	1
?	?	?	?
!	60	60	60
!	-27	-13	-46
!	-68	25	-5
!	!	!	!
!	1033	!	!
!	!	19.0	19.0
!	0.001	0.001	!
!	0.001	0.001	0.006
!	0.001	0.001	0.001
!	5.938	5.938	5.938
!	100.0	100.0	100.0
!	2.361	2.361	2.361
!	!	!	!
!	!	!	!
!	0.001	0.001	!
!	0.001	0.001	0.006
!	!	!	!
!	!	!	!
!	0.0	0.0	0.0
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	5.379	5.379	5.379
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	0.001	0.001	0.001
!	!	!	!
!	!	!	!
!	!	!	!
!	10.9	10.9	10.9
!	!	!	!
!	!	!	!
?	?	?	?
!	!	!	!
!	!	!	!
?	?	?	?
!	!	!	!
!	!	!	!
