!	0-29	30-35	36-38	39-43	44	45-50	51	52	53-55	56	57	58-59	60-62	63-64	65-67	68-69	70	71-73	74-75	76	77-80	81-83	84-86	87	88	89	90-91	92-93	94-95	96	97	98	99-108
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	5.40	5.40	5.40	5.08	5.08	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40
!	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4
!	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	63	63	63	68	68	73	73	74	74	74	74	80	80	80	83	83	87	87	87	87	87	98	98	104	104	104	104	104	104	104	104	104	104
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	-15	-15	-15	38	38	-28	-28	7	7	7	7	41	41	41	-48	-48	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	440	440	440	440	440	440	440	440	440	440	440	440	440	440	440	440	440	440	440	440	440	440	440	440	440	440	440	440	440	440	440	440	440
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.599	0.599	0.599	0.761	0.761	0.629	0.629	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.959	0.959	0.692	0.692	0.692	0.692	0.692	0.660	0.660	0.660	0.660	0.660
!	32.000	28.198	25.005	25.005	25.005	20.797	20.797	19.698	19.698	19.698	19.698	17.499	17.499	17.499	16.497	16.497	15.598	15.598	15.598	15.598	15.598	13.102	13.102	11.100	11.100	11.100	11.100	11.100	5.641	5.641	5.641	5.641	5.641
!	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
