!	0-61	62-73	74-92	93-108
!	!	!	!	!
!	4.40	3.48	3.48	3.48
!	6.7	6.7	6.7	7.5
!	1	1	1	1
?	?	?	?	?
!	67	78	93	112
!	!	!	!	!
!	1	-23	37	37
!	!	!	!	!
!	355	422	501	501
!	1.9	1.9	1.9	1.9
!	!	!	!	!
!	1.000	1.000	1.000	0.892
!	!	!	!	!
!	22.601	22.601	22.601	22.601
!	6.6	6.6	6.6	6.6
!	1.860	1.860	1.860	1.860
!	!	!	!	!
!	-40	-40	-40	-40
!	0.235	0.220	0.220	0.220
!	13.501	12.699	12.203	11.598
!	!	!	!	!
!	19.801	19.801	19.801	19.801
!	54.8	46.4	34.9	23.3
!	1.860	1.860	1.860	1.860
!	!	!	!	!
!	4275	4275	4275	4275
!	!	!	!	!
!	!	!	!	!
!	9.998	9.998	9.998	9.998
!	0.168	0.100	0.168	0.168
!	!	!	!	!
!	1800	1800	1800	1800
!	!	!	!	!
!	0.010	0.010	0.010	0.010
!	0.100	0.100	0.100	0.100
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	7.0	7.0	7.0	7.0
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
