!	0-69	70-92	93-108
!	!	!	!
!	3.48	3.48	2.28
!	!	!	!
!	1	1	1
?	?	?	?
!	76	80	122
!	!	!	!
!	21	4	35
!	!	!	!
!	599	599	641
!	!	!	!
!	!	!	!
!	0.049	0.049	0.030
!	0.322	0.322	0.353
!	6.361	6.361	6.361
!	1.3	1.3	1.3
!	1.940	1.940	1.110
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	10.697	10.697	10.501
!	38.0	35.9	35.7
!	1.060	1.060	1.060
!	!	!	!
!	4050	4050	4050
!	!	!	!
!	!	!	!
!	0.010	0.010	0.010
!	5.130	5.130	5.130
!	!	!	!
!	!	!	!
!	!	!	!
!	0.010	0.010	0.010
!	5.130	5.130	5.130
!	!	!	!
!	!	!	!
!	!	!	!
!	7.0	7.0	7.0
!	!	!	!
!	!	!	!
?	?	?	?
!	!	!	!
!	!	!	!
?	?	?	?
!	!	!	!
!	!	1	!
