!	0-72	73-91	92-104	105-108
!	!	!	!	!
!	3.96	4.40	5.72	6.56
!	!	!	!	!
!	1	1	1	1
?	?	?	?	?
!	68	68	!	97
!	!	!	!	!
!	!	!	!	13
!	!	!	!	!
!	599	599	599	599
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.138	0.138	0.138	!
!	1.090	1.090	1.090	1.090
!	1.7	0.6	0.6	0.6
!	0.243	0.243	0.243	0.253
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	22.0	22.0	22.0	22.0
!	1.060	1.060	1.060	1.060
!	!	!	!	!
!	4950	4950	4950	4950
!	!	!	!	!
!	!	!	!	!
!	0.010	0.010	0.010	0.010
!	7.060	7.060	7.060	7.060
!	!	!	!	!
!	!	!	!	!
!	0.8	0.8	0.8	0.8
!	0.010	0.010	0.010	0.010
!	7.060	7.060	7.060	7.060
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	7.0	7.0	7.0	7.0
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
