!	0-46	47-55	56-61	62-70	71-77	78-83	84-88	89-95	96-120
!	!	!	!	!	!	!	!	!	!
!	0.80	1.96	0.96	0.80	0.80	1.16	3.08	3.32	2.36
!	-19.1	-19.1	-19.1	-19.1	-19.1	-19.1	-19.1	-19.1	-19.1
!	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	0.062	0.073	0.062	0.062	0.062	0.062	0.062	0.062	0.062
!	!	!	!	!	!	!	!	!	!
!	1.920	1.920	1.920	1.920	1.920	1.920	1.920	1.920	1.920
!	8.1	8.1	8.1	8.1	8.1	8.1	8.1	8.1	8.1
!	0.940	0.940	0.940	0.940	0.940	0.940	0.940	0.940	0.940
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	39.993	39.993	39.993	39.993	39.993	39.993	39.993	39.993	39.993
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	0.247	0.247	0.247	0.247	0.247	0.247	0.247	0.247	0.247
!	7.811	7.811	7.811	7.811	7.811	7.811	7.811	7.811	7.811
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
!	42.4	42.4	42.4	42.4	42.4	42.4	42.4	42.4	42.4
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!
!	1	!	!	!	!	!	!	!	!
