!	0-60	61-64	65-69	70-73	74-79	80-84	85-86	87-127
!	!	!	!	!	!	!	!	!
5.08	1.48	1.48	1.48	1.56	0.00	0.40	0.60	0.00
!	!	!	!	!	!	!	!	!
!	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?
!	70	72	76	79	83	83	83	109
!	!	!	!	!	!	!	!	!
!	-7	18	32	-35	-21	-21	-21	13
!	!	!	!	!	!	!	!	!
!	3406	3524	3524	3524	3646	3524	3182	3412
!	!	!	!	!	!	!	!	3.1
!	!	!	!	!	!	!	!	!
!	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012
!	!	!	!	!	!	!	!	!
!	1.667	1.667	1.667	1.667	1.667	1.667	1.667	1.667
!	2.3	!	2.3	2.3	2.3	2.3	2.3	2.3
!	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	0.006	0.006	0.006	0.006	0.006	0.006	0.006
!	!	!	!	!	!	!	!	!
!	0.360	0.360	0.360	0.360	0.360	0.360	0.340	0.305
!	74.8	72.7	70.6	68.5	63.2	56.9	55.9	52.7
!	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056
!	!	!	!	!	!	!	!	!
!	787	787	787	787	787	787	787	787
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
0.008	0.305	0.305	0.305	0.305	0.305	0.305	0.305	0.305
!	5.546	5.546	5.546	5.546	5.546	5.546	5.546	5.546
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
0.7	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	5.546	5.546	5.546	5.546	5.546	5.546	5.546	5.546
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?
!	!	0	!	!	!	!	!	!
!	!	0	!	!	!	!	!	!
