!	24	24
!	!	!
5.08	8.08	0.00
!	!	!
!	0	1
?	?	?
!	24	24
!	-39	!
!	!	!
!	!	!
!	!	!
!	!	!
0.001	!	!
0.001	!	!
0.001	!	!
0.001	5.938	1.752
100.0	0.0	!
!	5.938	1.752
!	!	!
!	!	!
0.001	!	!
0.001	!	!
!	!	!
!	!	!
100.0	0.0	0.0
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
5.379	!	!
!	!	!
!	!	!
!	!	!
!	!	!
0.001	!	!
!	!	!
!	!	!
!	!	!
10.9	0.0	0.0
!	!	!
!	!	!
?	?	?
!	!	!
!	!	!
?	?	?
!	!	!
!	!	!
