!	48	49	50	51
!	!	!	!	!
!	4.48	!	!	!
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	55	56	57	58
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	33489	33489	33489	33489
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	0.930	0.930	0.930	0.930
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	1.044	1.044	1.044	1.044
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	4.286	4.286	4.286	4.286
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	4.286	4.286	4.286	4.286
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
?	?	?	?	?
!	!	!	!	!
!	!	!	!	!
