!	21	21
!	!	!
5.08	8.08	0.00
!	!	!
!	0	!
?	?	?
!	21	21
!	-10	!
!	!	!
!	!	!
!	!	!
!	!	!
0.001	!	!
0.001	!	0.070
0.001	!	!
0.001	5.938	!
100.0	0.0	!
!	5.938	!
!	!	!
!	!	!
0.001	!	!
0.001	!	!
!	!	32.767
!	!	!
100.0	0.0	0.0
!	!	32.767
!	!	!
!	!	7087
!	!	!
!	!	!
!	!	!
5.379	!	!
!	!	!
!	!	!
!	!	!
!	!	!
0.001	!	!
!	!	!
!	!	!
!	!	!
10.9	0.0	0.0
!	!	!
!	!	!
?	?	?
!	!	!
!	!	!
?	?	?
!	!	!
!	!	!
