!	!	!	!	!	!
!	!	0-75	76-93	94-110	111-127
!	!	6.00	4.00	2.00	!
!	!	!	!	!	!
!	1	!	!	!	!
?	?	?	?	?	?
!	60	60	60	60	60
!	-12	-15	-15	-15	-15
!	!	!	!	!	!
0	!	!	!	!	!
!	4862	3000	3999	5001	!
!	!	!	!	!	!
!	!	!	!	!	!
!	0.008	!	!	!	!
!	!	!	!	!	!
!	6.000	0.750	1.000	1.200	1.500
!	96.0	96.0	96.0	96.0	96.0
!	6.000	0.750	1.000	1.200	1.500
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
!	!	!	!	!	!
?	?	?	?	?	?
!	!	!	!	!	!
!	!	!	!	!	!
?	?	?	?	?	?
!	!	!	!	!	!
!	!	!	!	!	!
